x_mm,y_mm,z_mm
2.800124835968017578e+01,8.950000000000000000e+01,1.010000000000000000e+02
2.700120377540588379e+01,9.000000000000000000e+01,1.020000000000000000e+02
2.800124835968017578e+01,9.000000000000000000e+01,1.015000000000000000e+02
2.700120377540588379e+01,9.000000000000000000e+01,1.030000000000000000e+02
2.700120377540588379e+01,9.100000000000000000e+01,9.800000000000000000e+01
2.800124835968017578e+01,9.100000000000000000e+01,9.750000000000000000e+01
2.800124835968017578e+01,9.050000000000000000e+01,9.800000000000000000e+01
2.800124835968017578e+01,9.050000000000000000e+01,9.900000000000000000e+01
2.800124835968017578e+01,9.050000000000000000e+01,1.000000000000000000e+02
2.800124835968017578e+01,9.050000000000000000e+01,1.020000000000000000e+02
2.800124835968017578e+01,9.050000000000000000e+01,1.030000000000000000e+02
2.700120377540588379e+01,9.100000000000000000e+01,1.040000000000000000e+02
2.800124835968017578e+01,9.100000000000000000e+01,1.035000000000000000e+02
2.700120377540588379e+01,9.200000000000000000e+01,9.700000000000000000e+01
2.800124835968017578e+01,9.200000000000000000e+01,9.650000000000000000e+01
2.800124835968017578e+01,9.150000000000000000e+01,9.700000000000000000e+01
2.800124835968017578e+01,9.200000000000000000e+01,1.035000000000000000e+02
2.700120377540588379e+01,9.300000000000000000e+01,9.600000000000000000e+01
2.800124835968017578e+01,9.300000000000000000e+01,9.550000000000000000e+01
2.800124835968017578e+01,9.250000000000000000e+01,9.600000000000000000e+01
2.700120377540588379e+01,9.300000000000000000e+01,1.000000000000000000e+02
2.700120377540588379e+01,9.300000000000000000e+01,1.010000000000000000e+02
2.700120377540588379e+01,9.300000000000000000e+01,1.020000000000000000e+02
2.800124835968017578e+01,9.300000000000000000e+01,1.025000000000000000e+02
2.800124835968017578e+01,9.250000000000000000e+01,1.030000000000000000e+02
2.700120377540588379e+01,9.400000000000000000e+01,9.600000000000000000e+01
2.800124835968017578e+01,9.400000000000000000e+01,9.550000000000000000e+01
2.700120377540588379e+01,9.400000000000000000e+01,9.700000000000000000e+01
2.700120377540588379e+01,9.400000000000000000e+01,9.800000000000000000e+01
2.700120377540588379e+01,9.400000000000000000e+01,9.900000000000000000e+01
2.800124835968017578e+01,9.400000000000000000e+01,9.950000000000000000e+01
2.800124835968017578e+01,9.350000000000000000e+01,1.000000000000000000e+02
